alt,pressure,ax,ay,az,pitch,roll,yaw,gps_alt,lat,lon,vel,status,phase
2579.485107421875,,,,,-0.1520100235939026,-9.895920753479004,0.023100441321730614,,,,,7,ARMED
2584.462890625,,,,,-0.1576576679944992,-10.048361778259277,0.022395852953195572,,,,,7,ARMED
2592.3818359375,,,,,-0.15963579714298248,-10.20343017578125,0.020955409854650497,,,,,7,ARMED
2597.802001953125,,,,,-0.16322414577007294,-10.360384941101074,0.021677182987332344,,,,,7,ARMED
2604.64404296875,,,,,-0.16563032567501068,-10.52464771270752,0.021845167502760887,,,,,7,ARMED
2609.315673828125,,,,,-0.16722515225410461,-10.6896390914917,0.02227255515754223,,,,,7,ARMED
2615.7578125,,,,,-0.16985413432121277,-10.860767364501953,0.021625343710184097,,,,,7,ARMED
2620.722412109375,,,,,-0.1709052473306656,-11.034602165222168,0.023076435551047325,,,,,7,ARMED
2624.752197265625,,,,,-0.17475013434886932,-11.213229179382324,0.024426085874438286,,,,,7,ARMED
2630.5751953125,,,,,-0.17865364253520966,-11.395873069763184,0.02824310027062893,,,,,7,ARMED
2632.647216796875,,,,,-0.1800135374069214,-11.582348823547363,0.03065136820077896,,,,,7,ARMED
2637.526611328125,,,,,-0.18414361774921417,-11.775333404541016,0.032043810933828354,,,,,7,ARMED
2650.19580078125,,,,,-0.18741540610790253,-11.96981143951416,0.03299647942185402,,,,,7,ARMED
2654.267333984375,,,,,-0.18993955850601196,-12.16811752319336,0.03398575261235237,,,,,7,ARMED
2665.354248046875,,,,,-0.19067977368831635,-12.370746612548828,0.035182107239961624,,,,,7,ARMED
2672.937744140625,,,,,-0.1900506317615509,-12.576370239257812,0.03651132434606552,,,,,7,ARMED
2682.784912109375,,,,,-0.19482538104057312,-12.788585662841797,0.03521629050374031,,,,,7,ARMED
2688.81298828125,,,,,-0.19686365127563477,-13.007325172424316,0.034950610250234604,,,,,7,ARMED
2693.125732421875,,,,,-0.19963666796684265,-13.233226776123047,0.03644909709692001,,,,,7,ARMED
2698.0986328125,,,,,-0.20214293897151947,-13.46291732788086,0.036925069987773895,,,,,7,ARMED
2705.237548828125,,,,,-0.2052108347415924,-13.696803092956543,0.03839317709207535,,,,,7,ARMED
2713.896240234375,,,,,-0.2090914100408554,-13.937159538269043,0.03884544223546982,,,,,7,ARMED
2720.104736328125,,,,,-0.21270158886909485,-14.184920310974121,0.03918324038386345,,,,,7,ARMED
2726.56884765625,,,,,-0.21513941884040833,-14.442037582397461,0.04143991321325302,,,,,7,ARMED
2733.35498046875,,,,,-0.21931186318397522,-14.704756736755371,0.04322253167629242,,,,,7,ARMED
2736.22216796875,,,,,-0.22239477932453156,-14.9729585647583,0.04444364830851555,,,,,7,ARMED
2744.545166015625,,,,,-0.22822979092597961,-15.248689651489258,0.04502042382955551,,,,,7,ARMED
2752.9482421875,,,,,-0.23359327018260956,-15.530652046203613,0.04647568240761757,,,,,7,ARMED
2760.55419921875,,,,,-0.23750761151313782,-15.819296836853027,0.04795379936695099,,,,,7,ARMED
2766.30419921875,,,,,-0.24106809496879578,-16.11655616760254,0.0489131361246109,,,,,7,ARMED
2768.728271484375,,,,,-0.24602128565311432,-16.42093276977539,0.04957741126418114,,,,,7,ARMED
2773.454345703125,,,,,-0.2512510120868683,-16.73564910888672,0.050943803042173386,,,,,7,ARMED
2780.582763671875,,,,,-0.253755658864975,-17.05686378479004,0.051131028681993484,,,,,7,ARMED
2788.635986328125,,,,,-0.2578858733177185,-17.39000701904297,0.052330419421195984,,,,,7,ARMED
2794.6435546875,,,,,-0.2625380754470825,-17.731643676757812,0.05391683802008629,,,,,7,ARMED
2798.228271484375,,,,,-0.2654021084308624,-18.081369400024414,0.055405162274837494,,,,,7,ARMED
2801.58740234375,,,,,-0.27149227261543274,-18.442405700683594,0.05895918607711792,,,,,7,ARMED
2808.420654296875,,,,,-0.2749943435192108,-18.816871643066406,0.06087819114327431,,,,,7,ARMED
